==========================================================================================
PRODUCTOS PERDIDOS
------------------------------------------------------------------------------------------
       Producto            Cantidad          Precio unitario(S/.)           Sub-total(S/.)
  1)     31427               39.49               20.91                        825.74
  2)     25526               39.78               18.57                        738.71
  3)     47146               34.13               21.62                        737.89
  4)     37751               32.84               21.22                        696.86
  5)     18829               34.38               18.99                        652.88
  6)     37019               33.06               19.38                        640.70
  7)     46683               29.46               21.23                        625.44
  8)     29041               31.58               18.50                        584.23
  9)     25273               35.41               16.27                        576.12
 10)     29347               28.87               19.20                        554.30
 11)     42128               33.93               16.29                        552.72
 12)     53503               31.20               16.18                        504.82
 13)     52609               33.27               14.85                        494.06
 14)     33088               23.63               20.40                        482.05
 15)     48402               28.70               16.55                        474.99
 16)     38717               37.13               12.76                        473.78
 17)     46851               32.30               14.48                        467.70
 18)     21087               22.86               20.03                        457.89
 19)     25223               30.84               14.81                        456.74
 20)     41116               23.00               19.44                        447.12
 21)     39820               29.44               14.68                        432.18
 22)     50538               33.96               12.65                        429.59
 23)     26166               19.37               21.19                        410.45
 24)     21744               20.98               19.52                        409.53
 25)     19766               18.41               21.37                        393.42
 26)     52554               29.49               13.33                        393.10
 27)     50006               26.01               14.83                        385.73
 28)     44410               30.23               12.57                        379.99
 29)     24864               28.40               13.25                        376.30
 30)     32137               22.29               16.85                        375.59
 31)     37838               23.89               15.59                        372.45
 32)     37258               20.99               17.58                        369.00
 33)     35285               28.52               12.75                        363.63
 34)     20471               26.94               12.44                        335.13
 35)     45395               28.91               11.59                        335.07
 36)     49183               21.43               15.61                        334.52
 37)     20263               17.35               19.19                        332.95
 38)     20773               23.67               14.06                        332.80
 39)     27395               15.66               21.05                        329.64
 40)     21125               39.37                8.21                        323.23
 41)     41198               19.22               16.29                        313.09
 42)     32648               29.66               10.50                        311.43
 43)     49572               19.50               15.25                        297.38
 44)     46486               15.55               18.39                        285.96
 45)     38636               13.32               21.18                        282.12
 46)     35375               25.09               11.18                        280.51
 47)     29246               30.77                8.86                        272.62
 48)     32402               15.52               16.79                        260.58
 49)     35777               14.49               17.97                        260.39
 50)     47528               18.06               13.85                        250.13
 51)     40087               11.67               21.14                        246.70
 52)     37270               18.66               12.97                        242.02
 53)     44171               11.82               19.52                        230.73
 54)     29203               22.35               10.19                        227.75
 55)     45012               38.39                5.93                        227.65
 56)     19704               22.54               10.08                        227.20
 57)     38468               14.97               15.07                        225.60
 58)     22861               13.04               17.02                        221.94
 59)     31730               23.82                9.27                        220.81
 60)     37497               13.90               15.59                        216.70
 61)     22913               19.55               11.06                        216.22
 62)     29274               17.72               12.02                        212.99
 63)     21134               27.69                7.46                        206.57
 64)     44081               15.77               13.09                        206.43
 65)     34006               17.95               11.14                        199.96
 66)     28688               18.15               11.01                        199.83
 67)     26769               15.95               12.51                        199.53
 68)     28943               27.58                7.17                        197.75
 69)     48678               21.33                9.26                        197.52
 70)     30774               24.51                8.02                        196.57
 71)     27618               10.63               18.43                        195.91
 72)     41501                8.99               20.92                        188.07
 73)     27767               15.78               11.22                        177.05
 74)     21225                8.60               20.47                        176.04
 75)     21521                9.19               19.06                        175.16
 76)     26528               14.88               11.24                        167.25
 77)     22749                8.88               18.24                        161.97
 78)     23958               34.92                4.40                        153.65
 79)     51871               30.60                4.95                        151.47
 80)     33264               18.29                8.26                        151.08
 81)     26358               15.87                9.34                        148.23
 82)     40062               29.03                5.02                        145.73
 83)     36347               39.11                3.52                        137.67
 84)     21137               13.98                9.76                        136.44
 85)     22583               10.78               12.20                        131.52
 86)     50364               35.73                3.64                        130.06
 87)     20936               10.48               12.33                        129.22
 88)     34510               10.21               11.05                        112.82
 89)     19016               12.94                8.67                        112.19
 90)     33100               10.53               10.32                        108.67
 91)     31179               12.96                7.98                        103.42
 92)     26257               16.24                6.12                         99.39
 93)     32261               39.60                2.38                         94.25
 94)     51861                6.99               12.74                         89.05
 95)     45909               28.03                3.02                         84.65
 96)     35185                5.25               15.41                         80.90
 97)     22865               22.61                3.45                         78.00
 98)     31800                5.19               14.88                         77.23
 99)     37744               13.17                5.76                         75.86
100)     50589               19.09                3.85                         73.50
101)     51196               37.83                1.83                         69.23
102)     43095               15.74                4.06                         63.90
103)     39576               28.51                2.23                         63.58
104)     39000               17.67                3.29                         58.13
105)     46740                5.92                9.52                         56.36
106)     40854               12.52                4.44                         55.59
107)     39968               10.72                5.09                         54.56
108)     25130               22.07                2.45                         54.07
109)     26381                6.78                7.77                         52.68
110)     25817               19.83                2.59                         51.36
111)     25519               18.92                2.67                         50.52
112)     25629               23.02                2.13                         49.03
113)     47206               30.60                1.49                         45.59
114)     48125                3.52               11.08                         39.00
115)     30018                4.29                8.90                         38.18
116)     18523               13.81                2.72                         37.56
117)     48694               33.55                1.11                         37.24
118)     49950                2.99               11.64                         34.80
119)     33055                4.35                6.66                         28.97
120)     53292               28.95                0.96                         27.85
121)     20729                4.16                6.38                         26.54
122)     35540               19.25                1.27                         24.45
123)     50407               37.48                0.58                         21.74
124)     18192                8.35                2.47                         20.62
125)     33724               12.09                1.62                         19.59
126)     31631               20.91                0.72                         15.06
127)     32803                9.51                1.47                         13.98
128)     18592               20.10                0.65                         13.07
129)     22809               14.53                0.88                         12.79
130)     42326                5.42                2.23                         12.09
131)     29903                2.88                3.57                         10.28
132)     38483               11.07                0.87                          9.63
133)     28733                0.92                9.56                          8.80
134)     28784               14.90                0.59                          8.79
135)     34685                1.60                5.06                          8.10
136)     39053                3.38                2.39                          8.08
137)     52540                2.44                2.87                          7.00
138)     23419                2.18                2.98                          6.50
139)     42415                3.58                1.51                          5.41
140)     54016                3.21                1.05                          3.37
141)     25416                5.82                0.56                          3.26
142)     20749                0.49                6.22                          3.05
143)     46240                1.50                0.87                          1.30
144)     47404                0.14                5.95                          0.83
------------------------------------------------------------------------------------------
Costo total de productos perdidos: 31072.70
==========================================================================================
==========================================================================================
PLATOS QUE NO SE PODRAN PREPARAR
------------------------------------------------------------------------------------------
        Pedido           Cantidad         Precio Productos(S/.)           Sub-total(S/.)
  1)    376224              20                  223.52                       4470.36
  2)    254154              20                  145.47                       2909.46
  3)    913685              23                  115.82                       2663.88
  4)    351499              31                   81.73                       2533.58
  5)    527312              32                  210.44                       6734.10
  6)    480509              34                  247.90                       8428.51
  7)    147664              36                  155.00                       5580.18
  8)    349482              39                  210.51                       8209.92
  9)    591454              40                  164.53                       6581.05
 10)    131288              57                  239.96                      13677.93
 11)    331934              60                  177.59                      10655.54
 12)    958942              61                  160.52                       9791.45
 13)    416692              63                  169.01                      10647.71
 14)    360258              65                  128.50                       8352.45
 15)    134848              70                  157.42                      11019.12
 16)    878367              73                   12.90                        942.00
 17)    602128              74                  153.99                      11395.50
 18)    232542              80                   22.02                       1761.85
 19)    751919              94                  185.81                      17466.36
 20)    997410              98                  214.46                      21016.96
 21)    220861              98                   97.91                       9594.73
 22)    137405             100                  184.88                      18487.99
 23)    282726             103                  109.33                      11260.75
 24)    226840             108                  197.14                      21291.41
 25)    612129             118                    0.00                          0.00
 26)    547941             122                  180.94                      22075.13
 27)    771276             129                  194.49                      25089.38
 28)    724281             129                  152.80                      19711.21
 29)    915960             132                  182.88                      24140.75
 30)    359171             133                  107.09                      14242.44
 31)    392931             135                  200.04                      27005.02
 32)    385260             140                  189.54                      26535.03
 33)    120767             141                  180.12                      25396.55
 34)    691386             142                   64.52                       9161.44
 35)    780367             149                    6.47                        963.49
 36)    952652             171                   77.59                      13268.51
 37)    230581             173                  193.70                      33510.67
 38)    531731             177                  163.59                      28955.54
 39)    492640             178                  200.38                      35667.27
 40)    246666             178                   97.90                      17426.75
 41)    694094             179                   84.34                      15096.43
 42)    973757             184                  139.32                      25634.55
 43)    550341             189                  171.88                      32485.81
 44)    249106             191                  297.46                      56815.49
 45)    610548             191                   84.29                      16098.99
------------------------------------------------------------------------------------------
Monto total de pedidos sin preparar: 694753.24
==========================================================================================
